TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
1354.157121,0.000293253,91225,1461.510742,5.6521945,791.6655273,2.115555525,1625.490112,7.375852585,0,NA,NA,NA,NA,779.8379125,0.002546875,1764.837088,0.002253502,-0.03300887,-0.039353982
1354.15851,0.000293242,91226,1456.020386,5.649950504,791.5619507,2.114609241,1618.336548,7.372924805,0,NA,NA,NA,NA,779.8418087,0.002551513,1764.839702,0.002265208,-0.028027887,-0.032985561
1354.159899,0.000293231,91227,1449.01001,5.65089798,796.5925293,2.121034384,1607.913818,7.374161243,0,NA,NA,NA,NA,779.8381389,0.002569195,1764.833222,0.002266008,-0.031922583,-0.042590536
1354.161288,0.00029322,91228,1460.140625,5.646046638,789.0117188,2.109678745,1623.38855,7.367830276,0,NA,NA,NA,NA,779.844013,0.002540932,1764.840477,0.002256141,-0.029608123,-0.033922482
1354.162677,0.00029321,91229,1455.538452,5.646092892,791.9379272,2.118111849,1617.688721,7.367890835,0,NA,NA,NA,NA,779.8354099,0.002550566,1764.834232,0.002258444,-0.033428982,-0.038386755
1354.164066,0.000293199,91230,1461.193848,5.653316021,790.2033081,2.11033535,1624.936035,7.377316475,0,NA,NA,NA,NA,779.8435437,0.002538397,1764.839282,0.00226283,-0.029543124,-0.032952402
1354.165455,0.000293188,91231,1455.092285,5.651443005,792.3704224,2.114233255,1615.213501,7.374872684,0,NA,NA,NA,NA,779.8372787,0.002550755,1764.834049,0.002262835,-0.031891968,-0.04079568
1354.166843,0.000293177,91232,1463.306396,5.663793564,792.3588257,2.115823269,1626.5,7.390988827,0,NA,NA,NA,NA,779.846709,0.002537605,1764.840999,0.002260069,-0.027423568,-0.036386553
1354.168232,0.000293166,91233,1448.956543,5.639351845,792.161438,2.115137339,1608.967163,7.359093666,0,NA,NA,NA,NA,779.8346378,0.002560331,1764.833746,0.00226867,-0.0355625,-0.03764816
1354.169621,0.000293155,91234,1448.466553,5.64942646,796.1486816,2.11843586,1607.096802,7.37224102,0,NA,NA,NA,NA,779.8407499,0.002562786,1764.839817,0.002274118,-0.027964957,-0.036358017
